Status,Date,Time
Open,2022-03-12,16:00:04
Open,2022-03-12,16:25:04
Close,2022-03-12,17:05:04
Close,2022-03-12,17:10:05
Open,2022-03-12,17:15:04
Open,2022-03-13,09:45:04
Open,2022-03-14,06:25:11
Open,2022-03-14,09:20:06
Open,2022-03-14,10:25:04
Open,2022-03-14,11:00:04
Open,2022-03-14,14:15:03
Open,2022-03-14,15:30:07
Open,2022-03-14,15:45:04
Open,2022-03-14,16:25:07
Open,2022-03-14,17:55:05
Open,2022-03-15,06:50:04
Open,2022-03-15,07:20:02
Open,2022-03-15,16:35:03
Open,2022-03-15,17:05:03
Open,2022-03-16,06:30:04
Open,2022-03-16,16:55:02
Open,2022-03-16,17:00:04
Open,2022-03-16,17:25:02
Open,2022-03-16,18:00:02
Open,2022-03-16,18:25:01
Open,2022-03-17,07:40:03
Open,2022-03-17,08:00:03
Open,2022-03-17,10:00:05
Open,2022-03-17,11:10:04
Open,2022-03-17,12:15:04
Open,2022-03-17,15:45:03
Open,2022-03-17,17:50:02
Open,2022-03-17,18:20:06
Close,2022-03-18,06:30:03
Open,2022-03-18,10:40:04
Open,2022-03-18,11:20:05
Open,2022-03-18,11:35:03
Open,2022-03-18,16:35:02
Open,2022-03-19,08:00:02
Open,2022-03-19,14:20:05
Open,2022-03-19,14:35:04
Close,2022-03-20,15:25:03
Open,2022-03-20,15:30:05
Close,2022-03-20,16:00:03
Open,2022-03-20,16:05:05
Open,2022-03-21,06:35:05
Open,2022-03-22,06:30:03
Open,2022-03-22,06:55:02
Open,2022-03-22,16:50:03
Open,2022-03-23,06:40:03
Open,2022-03-23,07:25:03
Open,2022-03-23,15:30:04
Open,2022-03-23,16:55:03
Open,2022-03-24,06:55:05
Close,2022-03-24,07:50:05
Open,2022-03-24,07:55:04
Open,2022-03-25,06:25:02
Open,2022-03-25,10:55:02
Open,2022-03-25,11:05:03
Open,2022-03-25,11:20:03
Open,2022-03-25,15:15:04
Open,2022-03-25,16:05:02
Open,2022-03-25,17:25:06
Open,2022-03-25,19:40:03
Open,2022-03-27,19:05:04
Open,2022-03-27,19:10:02
Open,2022-03-28,05:30:06
Open,2022-03-30,12:05:03
Open,2022-03-30,13:30:04
Close,2022-03-31,06:55:02
Open,2022-03-31,07:00:05
Open,2022-03-31,09:00:04
Open,2022-03-31,14:45:04
Open,2022-04-01,05:30:03
Open,2022-04-01,05:35:03
Open,2022-04-01,05:45:03
Open,2022-04-03,08:05:04
Close,2022-04-04,12:30:04
Open,2022-04-04,12:35:04
Open,2022-04-04,17:55:03
Open,2022-04-04,18:00:05
Open,2022-04-04,20:30:04
Open,2022-04-05,05:40:03
Close,2022-04-05,05:45:04
Open,2022-04-05,10:00:04
Open,2022-04-06,05:55:03
Open,2022-04-06,06:20:02
Open,2022-04-07,06:00:03
Open,2022-04-07,07:00:03
Open,2022-04-07,16:20:03
Open,2022-04-07,17:25:03
Open,2022-04-08,09:55:04
Open,2022-04-08,10:45:03
Open,2022-04-10,12:15:02
Open,2022-04-10,12:25:02
Open,2022-04-10,12:35:02
Open,2022-04-10,12:40:02
Close,2022-04-10,13:10:02
Open,2022-04-10,13:20:02
Open,2022-04-10,14:30:02
Close,2022-04-11,08:40:03
Open,2022-04-11,10:50:04
Close,2022-04-11,11:10:03
Open,2022-04-11,11:15:03
Open,2022-04-11,16:25:02
Open,2022-04-11,18:05:04
Close,2022-04-12,16:40:04
Open,2022-04-12,16:45:05
Open,2022-04-12,17:35:02
Close,2022-04-12,19:20:05
Open,2022-04-12,19:25:02
Open,2022-04-13,06:00:05
Open,2022-04-13,06:10:04
Open,2022-04-13,09:40:05
Open,2022-04-13,09:45:03
Open,2022-04-13,15:15:04
Open,2022-04-14,08:55:05
Open,2022-04-14,12:25:03
Open,2022-04-14,13:15:05
Open,2022-04-14,15:15:03
Open,2022-04-14,15:40:04
Open,2022-04-14,17:25:02
Open,2022-04-14,18:10:04
Open,2022-04-19,06:10:02
Open,2022-04-19,18:40:02
Open,2022-04-20,05:50:03
Open,2022-04-20,07:15:02
Open,2022-04-20,16:10:02
Open,2022-04-20,17:20:02
Open,2022-04-20,17:45:03
Open,2022-04-20,19:25:03
Open,2022-04-21,05:55:03
Open,2022-04-21,06:45:03
Open,2022-04-21,14:55:05
Open,2022-04-21,16:05:01
Open,2022-04-22,05:35:02
Open,2022-04-22,11:00:02
Open,2022-04-23,00:00:03
Open,2022-04-23,10:40:02
Open,2022-04-23,10:45:03
Open,2022-04-23,10:50:03
Open,2022-04-23,11:50:03
Open,2022-04-23,14:25:02
Open,2022-04-23,15:25:01
Open,2022-04-23,15:40:03
Open,2022-04-23,16:05:02
Open,2022-04-23,16:10:02
Open,2022-04-24,09:05:03
Open,2022-04-24,13:40:02
Close,2022-04-24,17:40:03
Open,2022-04-24,17:45:02
Open,2022-04-25,09:15:02
Open,2022-04-25,09:45:03
Open,2022-04-25,11:00:07
Open,2022-04-25,15:45:02
Open,2022-04-25,15:55:02
Open,2022-04-25,16:00:03
Open,2022-04-25,16:55:01
Open,2022-04-25,17:30:03
Open,2022-04-26,05:50:05
Open,2022-04-26,10:40:05
Close,2022-04-26,10:45:01
Open,2022-04-26,10:50:03
Open,2022-04-26,12:40:04
Open,2022-04-26,13:15:03
Open,2022-04-26,16:15:04
Open,2022-04-26,16:25:02
Open,2022-04-28,06:55:02
Open,2022-04-28,07:45:02
Close,2022-04-28,07:50:02
Open,2022-04-28,07:55:02
Open,2022-04-28,08:20:02
Open,2022-04-28,09:10:03
